Tweet_time,Pos_weighted_average,neg_weighted_average,i,theta,Polarity,daily_index
2022-07-20,0.162389392578125,0.21849754375,0.2722342584001425,0.7829335467772813,0.003138047343408057,1.0115270111919406
2022-07-21,0.17882498890701468,0.2247792458401305,0.2872352450832797,0.8319751250727639,-0.059303629478626,0.7935363765632878
2022-07-22,0.13380947692307693,0.2536759107962213,0.28680384208151727,0.7669288994793223,0.023515797182708242,1.0819926156220196
2022-07-23,0.14555768780487804,0.23611815335365854,0.27737848298352946,0.7673637161137633,0.022962171449029345,1.0827828143050044
2022-07-24,0.15900289604221635,0.23856726213720317,0.28669890043990903,0.802813894536101,-0.022174397586208094,0.9226561470860759
2022-07-25,0.15921592402448353,0.22126525876052025,0.27259498380808495,0.7789350986449228,0.008229029623099349,1.0301877514697513
2022-07-26,0.17126495739130435,0.2099828932919255,0.27096955752536755,0.793692584006219,-0.01056078431975327,0.9610259380566594
2022-07-27,0.1899712143274854,0.23098723713450292,0.29907217522212004,0.8674744919524171,-0.10450282720286208,0.6505765635828604
2022-07-28,0.16915386474428726,0.22263502480957564,0.2796057657307678,0.805261111851006,-0.02529029144610595,0.9095501790529672
2022-07-29,0.17228040310825293,0.19433730460878884,0.2597066138121078,0.7761737863008145,0.011744841694983466,1.0452234986340418
2022-07-30,0.17265795771428571,0.23249746990476192,0.2895960011363827,0.8271964669844186,-0.05321925302977615,0.8162293235371264
2022-07-31,0.14605836863207547,0.23554186320754716,0.27715161260715426,0.7676948200583176,0.022540596813405034,1.0813294810063219
2022-08-01,0.146139201332593,0.18246343292615214,0.23377247597038572,0.6926309528829369,0.11811488088184752,1.5052557209378674
2022-08-02,0.14159130769230768,0.21811465076923078,0.2600424951699265,0.7313728215150006,0.06878720170256925,1.2645229259841542
2022-08-03,0.12818030565110564,0.1505432941031941,0.19772069733907893,0.6016874991670833,0.23390768248766425,2.183020723857386
